X,Y,Especies_p,Cobertura,Edad_parch,Morfologia,Geo,Suelo,Lat,Long,sin_cobert,mantillo,roca,muerto_en_,criptogama,efimeras,Inundado12,DEMALOS,DEM_5000,ndviverano,icon_url
-68.1028889,-38.98909167,Salba,Salba_Shumb,"20",bifurcado,alterna,arenalimo,-38.989091670000001,-68.102888899999996,"0","7","0","1","0","1","0","284",261.000000000000000,-0.071661241000000,./0.png
-68.1003361,-38.98941944,Pnigra,Pnigra_Sxfragilis,"14",candelabro,isla,arenalimo,-38.989419439999999,-68.100336100000007,"0","0","0","1","2","8","1","280",261.903686499999992,0.135685205000000,./0.png
-68.0998472,-38.98973889,Pnigra,Pnigra_Salba,"16",candelabro,isla,arenalimo,-38.989738889999998,-68.099847199999999,"0","8","0","0","1","1","1","281",262.906890900000008,0.120504729000000,./0.png
-68.0970944,-38.9903,Salba,Salba_Shumb_Pnigra,"25",Raiz_expuesta,isla,arenalimo,-38.990299999999998,-68.097094400000003,"0","8","0","0","1","1","0","281",261.000000000000000,0.442373514000000,./0.png
-68.0977944,-38.99011667,Pnigra,Pnigra,"10",columnar,redcanales,arenalimo,-38.990116669999999,-68.097794399999998,"0","0","0","0","0","1","1","282",262.023254399999985,0.156792507000000,./0.png
-68.0984028,-38.99009722,Pnigra,Pnigra,"17",columnar,isla,arenalimo,-38.990097220000003,-68.098402800000002,"29","0","4","0","0","0","1","282",261.774322499999982,0.176230699000000,./0.png
-68.1196444,-38.98485556,Salba,Salba,"14",normal,cauceabandonado,Organicolimo,-38.984855560000000,-68.119644399999999,"0","0","0","0","0","0","1","285",261.841766399999983,0.365664393000000,./0.png
-68.1192083,-38.98472778,Salba,Salba_Pnigra,"19",bifurcado,cauceabandonado,arenalimo,-38.984727780000000,-68.119208299999997,"0","7","0","0","0","0","1","285",261.332458499999973,0.411025137000000,./0.png
-68.1174306,-38.98385278,Pnigra,Pnigra,"15",normal,transversal,roca,-38.983852779999999,-68.117430600000006,"1","25","29","0","0","0","1","276",261.000000000000000,0.500773966000000,./0.png
-68.1173472,-38.98187778,Salba,Salba_Pnigra,"14",bifurcado,bordeacrecion,arenaroca,-38.981877779999998,-68.117347199999998,"3","17","0","0","0","0","1","276",263.460113499999977,0.407459527000000,./0.png
-68.1175111,-38.982525,Pnigra,Pnigra,"20",bifurcado,redcanales,arenaroca,-38.982525000000003,-68.117511100000002,"13","6","14","0","0","0","1","276",263.484710699999994,0.149668872000000,./0.png
-68.117725,-38.98351389,Sxfragilis,Sxfragilis,"15",normal,redcanales,arena,-38.983513889999998,-68.117724999999993,"0","19","0","0","3","0","1","285",263.000000000000000,0.350699455000000,./0.png
-68.2188778,-38.98078056,Pnigra,Pnigra,"42",columnar,planiciefranjas,arena,-38.980780559999999,-68.218877800000001,"1","30","0","0","0","0","1","295",,0.432750076000000,./0.png
-68.1747083,-38.97415556,Salba,Salba,"26",bifurcado,cauceabandonado,Organicolimo,-38.974155560000000,-68.174708300000006,"0","11","0","0","0","0","0","297",281.335815400000001,0.759046972000000,./0.png
-68.1748417,-38.97543889,Salba,Salba_Pnigra_Frax,"42",columnar,albardon,limo,-38.975438890000000,-68.174841700000002,"0","32","0","0","0","0","0","299",270.010467500000004,0.632631004000000,./0.png
-68.1724889,-38.97538333,Pdeltoides,Pdeltoides_Salba,"17",inclinado,bordeacrecion,arenalimo,-38.975383330000000,-68.172488900000005,"0","21","0","0","5","0","1","294",272.930145299999992,0.397543639000000,./0.png
-68.1764278,-38.96792222,Pnigra,Pnigra,"11",columnar,transversal,roca,-38.967922219999998,-68.176427799999999,"4","5","19","0","0","0","1","286",267.000000000000000,0.353247970000000,./0.png
-68.094275,-38.989044,Salba,Salba_Pnigra_Frax,"34",candelabro,isla,Organicolimo,-38.989044000000000,-68.094274999999996,"0","26","0","0","0","0","1","280",260.241027799999983,-0.010007698000000,./0.png
-68.0942889,-38.98801389,Pnigra,Pnigra,"17",sinuoso,isla,arenalimo,-38.988013889999998,-68.094288899999995,"0","12","0","0","0","0","1","283",274.864166300000022,0.506533444000000,./0.png
-68.096822,-38.984981,Salba,Salba_Pnigra_Frax,"41",bifurcado,cauceabandonado,arenalimo,-38.984980999999998,-68.096822000000003,"0","32","0","1","0","0","1","286",260.271453899999983,0.525879085000000,./0.png
-68.0964194,-38.98534167,Salba,Salba_Pnigra_Ulmus,"35",bifurcado,planiciefranjas,arenalimo,-38.985341669999997,-68.096419400000002,"0","28","0","0","0","0","1","288",266.402496299999996,0.668845296000000,./0.png
